,Position,Title,Link,Cited_by,Pub_Info,Snippet
0,0,Resilience of ground transportation networks: a case study on Melbourne,https://www.worldtransitresearch.info/research/3825/,79,"G Leu, H Abbass, N Curtis - 2010 - worldtransitresearch.info","… and resilience is computed for train, tram and street networks. The … Hence, the graphs that we use for analysis are built as … We would normally start with a fully connected graph (one can …"
1,1,A graph-based framework for real-time vulnerability assessment of road networks,https://ieeexplore.ieee.org/abstract/document/8421354/,16,"A Furno, NE El Faouzi, R Sharma… - … on Smart Computing …, 2018 - ieeexplore.ieee.org","… network properties and structural features of road networks, by … state of the transportation network with correctly operating … of network breakage on road traffic remains a very complex …"
2,2,"Resilience and friability of transportation networks: evaluation, analysis and optimization",https://ieeexplore.ieee.org/abstract/document/5688189/,259,"WH Ip, D Wang - IEEE Systems Journal, 2011 - ieeexplore.ieee.org",… studies on the resilience of complex networks have been reported … represent transportation networks by an undirected graph … of a transportation network with ten city nodes and 16 road …
3,3,Vulnerability of complex networks,https://www.sciencedirect.com/science/article/pii/S1007570410001607,144,"I Mishkovski, M Biey, L Kocarev - Communications in Nonlinear Science …, 2011 - Elsevier","… is also carried out for three urban transport networks: Turin’s, Milan’s and London’s road … In this paper we consider networks that can be modeled as simple graphs. A graph is an …"
4,4,Graph-theoretical analysis of the Swiss road and railway networks over time,https://link.springer.com/article/10.1007/s11067-008-9074-7,175,"A Erath, M Löchl, KW Axhausen - Networks and Spatial Economics, 2009 - Springer",… figures should characterise the vulnerability of transport … An ongoing project dealing with vulnerability will address the … of network measures as used in the analyses of complex …
5,5,Resilience analytics: coverage and robustness in multi-modal transportation networks,https://link.springer.com/content/pdf/10.1140/epjds/s13688-018-0139-7.pdf,19,"A Baggag, S Abbar, T Zanouda, J Srivastava - EPJ Data Science, 2018 - Springer","… With the road networks for dozens of cities at hand, we can … and resilience of the complex transportation systems. Such … 1 Basic statistics about different transportation networks used …"
6,6,Approach to quantify the impact of disruptions on traffic conditions using dynamic weighted resilience metrics of transport networks,https://journals.sagepub.com/doi/pdf/10.1177/0361198121998663,5,"E Henry, A Furno, NEE Faouzi - Transportation research …, 2021 - journals.sagepub.com","… combines different metrics from the complex networks theory (ie, … for resilience modeling and analysis for road transport, by … easily computed over a multilayer graph. Therefore, the pre…"
7,7,Resilience of self-organised and top-down planned cities—a case study on London and Beijing street networks,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0141736,45,"J Wang - PloS one, 2015 - journals.plos.org",… dual representations of planar graphs. The robustness of … space is a graph representation of street networks where roads … impacts on urban transport by resilience analysis in the primal …
8,8,Critical infrastructures vulnerability: The highway networks,https://link.springer.com/content/pdf/10.1007/978-3-540-75261-5_9.pdf,13,"L Issacharoff, S Lämmer, V Rosato… - Managing complexity …, 2008 - Springer","… In this work we focus on the road transportation system and, … for the extreme vulnerability of complex networks to any … the graph’s topology and determine networks elements which …"
9,9,Measuring urban road network vulnerability to extreme events: an application for urban floods,https://www.sciencedirect.com/science/article/pii/S1361920921000742,28,"AB Morelli, AL Cunha - Transportation research part D: transport and …, 2021 - Elsevier","… road network as a primal directed graph, but, since the infrastructure available to each mode of transportation can vary, we use different graphs … the difference in the graphs' structure for …"
10,10,"OSMnx: New methods for acquiring, constructing, analyzing, and visualizing complex street networks",https://www.sciencedirect.com/science/article/pii/S0198971516303970,1058,"G Boeing - Computers, Environment and Urban Systems, 2017 - Elsevier","… and sound from the perspectives of graph theory, transportation, and urban design. OSMnx … a connected graph to disconnect it. This is a measure of resilience as complex networks with …"
11,11,Measuring the vulnerability of public transport networks,https://www.sciencedirect.com/science/article/pii/S0966692314000180,250,"E Rodríguez-Núñez, JC García-Palomares - Journal of transport geography, 2014 - Elsevier","… on transport network vulnerability can be differentiated according to whether they deal with road networks (the most frequent) or public transport (… , graph theory and complex network …"
12,12,Importance and exposure in road network vulnerability analysis,https://www.sciencedirect.com/science/article/pii/S096585640500162X,858,"E Jenelius, T Petersen, LG Mattsson - Transportation Research Part A …, 2006 - Elsevier","… In view of the recent big interest in the properties of complex networks, in Section 4.4 we calculate some topological measures of the road network and compare it with other networks. …"
13,13,Characterization of vulnerability of road networks to random and nonrandom disruptions using network percolation approach,https://ascelibrary.org/doi/abs/10.1061/%28ASCE%29CP.1943-5487.0000938,11,"B Abdulla, B Birgisson - Journal of Computing in Civil Engineering, 2021 - ascelibrary.org","… to lend themselves readily to being represented as graphs. … in modeling transportation vulnerability and road network … , the road network is modeled as a directed primal graph, in …"
14,14,Assessing seismic vulnerability of urban road networks by a Bayesian network approach,https://www.sciencedirect.com/science/article/pii/S1361920918307375,32,"Y Tang, S Huang - Transportation research part D: transport and …, 2019 - Elsevier","… These studies usually use relevant indexes of graph theory to analyze vulnerability from the … Certainly, actual urban road network structure is quite complex, so this study approached …"
15,15,Transport resilience and vulnerability: The role of connectivity,https://www.sciencedirect.com/science/article/pii/S0965856414003048,304,"A Reggiani, P Nijkamp, D Lanzi - Transportation research part A: policy and …, 2015 - Elsevier","… In addition, if we assume that complex networks are not … the complex (transport) network approach, by means of graph … We can find several real applications to road networks (2V, …"
16,16,Transportation network resilience against failures: GIS-based assessment of network topology role,https://www.emerald.com/insight/content/doi/10.1108/IJDRBE-06-2020-0064/full/html,5,"F Rouhana, D Jawad - … journal of disaster resilience in the built …, 2021 - emerald.com",… assessing the resilience of transportation road infrastructure … Graph-based techniques through graph theory are employed … of complex dynamic processes in transport networks through …
17,17,Characterization of vulnerability of road networks to fluvial flooding using SIS network diffusion model,https://link.springer.com/article/10.1186/s43065-020-00004-z,19,"B Abdulla, A Kiaghadi, HS Rifai, B Birgisson - … Preservation and Resilience, 2020 - Springer","… , they tend to lend themselves readily to being represented as graphs, and therefore graph … study the vulnerability in transportation systems [32]. Graph theory reduces a road network to …"
18,18,Evaluation of the resilience of air transportation network with adaptive capacity,https://www.tandfonline.com/doi/abs/10.1080/12265934.2016.1166979,25,"S Yoo, H Yeo - International Journal of Urban Sciences, 2016 - Taylor & Francis","… of complex network theory, the study of complex network has … The network in this study is a weighted, undirected graph with … that road and railway networks are link-based networks …"
19,19,Characterization of the vulnerability of road networks to fluvial flooding using network percolation approach,https://ascelibrary.org/doi/abs/10.1061/9780784482445.055,14,"B Abdulla, A Mostafavi, B Birgisson - … , sustainability, and resilience, 2019 - ascelibrary.org","… Graph theory based methods have been devised to assess the vulnerability of the transportation networks… systems, they tend to lend themselves readily to being represented as graphs. …"
20,0,Characterization of the vulnerability of road networks to fluvial flooding using network percolation approach,https://ascelibrary.org/doi/abs/10.1061/9780784482445.055,14,"B Abdulla, A Mostafavi, B Birgisson - … , sustainability, and resilience, 2019 - ascelibrary.org","… Graph theory based methods have been devised to assess the vulnerability of the transportation networks… systems, they tend to lend themselves readily to being represented as graphs. …"
21,1,The role of travel demand and network centrality on the connectivity and resilience of an urban street system,https://link.springer.com/article/10.1007/s11116-017-9814-y,41,"M Akbarzadeh, S Memarmontazerin, S Derrible… - Transportation, 2019 - Springer","… , graphs that account for direction (ie, one-way streets), as we do in this work are called directed networks, while graphs … Figures 7 and 8 show the effect of node removal on the relative …"
22,2,Identifying topological credentials of physical infrastructure components to enhance transportation network resilience: case of Florida bridges,https://ascelibrary.org/doi/abs/10.1061/JTEPBS.0000712,2,"MA Ahmed, AM Sadri, A Mehrabi… - Journal of transportation …, 2022 - ascelibrary.org",… scales to apply complex network analysis to the study of Florida road network resilience. The … studied the application of graph theory and network analysis to design transportation …
23,3,Assessment of urban ecosystem resilience through hybrid social–physical complex networks,https://onlinelibrary.wiley.com/doi/abs/10.1111/mice.12080,107,"M Cavallaro, D Asprone, V Latora… - … ‐Aided Civil and …, 2014 - Wiley Online Library","… complex networks, obtained by enriching the urban street … is based on the analysis of an extremely simplified model—a graph… resilience of complex transportation networks, information …"
24,4,Robustness and vulnerability analysis of water distribution networks using graph theoretic and complex network principles,https://ascelibrary.org/doi/abs/10.1061/41203(425)85,52,"A Yazdani, P Jeffrey - Water Distribution Systems Analysis 2010, 2010 - ascelibrary.org",… of the vulnerability in complex networks among other sectors include resilience of urban transport networks (Zio and … Random planar graphs and the London street network.” Eur. Phys. …
25,5,Topological patterns in street networks of self-organized urban settlements,https://link.springer.com/article/10.1140/epjb/e2006-00085-1,331,"J Buhl, J Gautrais, N Reeves, RV Solé… - … Matter and Complex …, 2006 - Springer",… matrix largely defined by three types of transportation networks. These involve matter (… random graph theory and to exhibit a high resilience to random removal and high vulnerability to …
26,6,Vulnerability and robustness of interdependent transport networks in north-western Italy,https://etrr.springeropen.com/articles/10.1186/s12544-023-00580-7,,"C Ferrari, M Santagata - European Transport Research …, 2023 - etrr.springeropen.com",… as resilience and vulnerability within the framework of complex … Berdica [5] argues that vulnerability in the road transportation … a transport terminal (a motorway exit in the motorway graph …
27,7,Network robustness and fragility: Percolation on random graphs,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.85.5468,2920,"DS Callaway, MEJ Newman, SH Strogatz, DJ Watts - Physical review letters, 2000 - APS","… of our theory to the understanding of network resilience. … networks is the random graph [7], which has been investigated in depth for several decades now. However, random graphs …"
28,8,Centrality measures and vulnerability of spatial networks,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ec18601ee904afc082283bb1e75e1b3d4ce336b0,16,"U Demšar, O Špatenková, K Virrantaus - 4th Internat. Conf. on Information …, 2007 - Citeseer",… Other measures and properties of graphs are under … and other global transportation networks. US Internet as an … networks using a dual graph modelling approach (meaning that the line …
29,9,Identifying critical locations in a spatial network with graph theory,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9671.2008.01086.x,139,"U Demšar, O Špatenková, K Virrantaus - Transactions in GIS, 2008 - Wiley Online Library","… of the city of Helsinki as an example of a transportation … theory, probabilistic graph theory and complex networks … the Helsinki street network and describes how the vulnerability risk was …"
30,10,"A multi-scale analysis of 27,000 urban street networks: Every US city, town, urbanized area, and Zillow neighborhood",https://journals.sagepub.com/doi/pdf/10.1177/2399808318784595,139,"G Boeing - Environment and Planning B: Urban Analytics …, 2020 - journals.sagepub.com","… measures relevant to graph theory, transportation, urban … Planar graphs may reasonably model the street networks of … Brittle points of vulnerability characterize networks with low …"
31,11,A complex network approach to robustness and vulnerability of spatially organized water distribution networks,https://arxiv.org/abs/1008.1770,67,"A Yazdani, P Jeffrey - arXiv preprint arXiv:1008.1770, 2010 - arxiv.org",… sectors include resilience of urban transport networks (Zio and … graph theory and complex network principles in the analysis of vulnerability and robustness of water distribution networks …
32,12,Vulnerability and resilience of transport systems–A discussion of recent research,https://www.sciencedirect.com/science/article/pii/S0965856415001603,708,"LG Mattsson, E Jenelius - Transportation research part A: policy and …, 2015 - Elsevier","… in graph theory studies the vulnerability of transport networks … complex and interdependent. For instance, most of them require electric power, access to computer networks and road …"
33,13,Analysis of vulnerability of road networks on the basis of graph topology and related attribute information,https://link.springer.com/chapter/10.1007/978-3-642-14616-9_34,14,"Z Zhang, K Virrantaus - … Technologies: Proceedings of the Second KES …, 2010 - Springer",… Road networks can be considered as graphs: the bending points and intersections of roads … transportation networks. Governments authorities try to create a road network vulnerability …
34,14,A host-based approach to network attack chaining analysis,https://ieeexplore.ieee.org/abstract/document/1565236/,154,"…, J Pamula, R Ritchey, J Street - 21st Annual Computer …, 2005 - ieeexplore.ieee.org","… an attack graph. Researchers have proposed a variety of methods to generate attack graphs. In this paper, we provide a novel alternative approach to network vulnerability analysis by …"
35,15,Assessing the role of network topology in transportation network resilience,https://www.sciencedirect.com/science/article/pii/S0966692315000794,293,"X Zhang, E Miller-Hooks, K Denny - Journal of transport geography, 2015 - Elsevier","… transportation, communications, the Internet, general graph … These components, however, can be complex networks in their … Group 1 networks are more often found in urban street …"
36,16,Resilient urban forms: A review of literature on streets and street networks,https://www.sciencedirect.com/science/article/pii/S0360132318305985,148,"A Sharifi - Building and Environment, 2019 - Elsevier","… for improving resilience of streets and street networks. … complex structure of street networks [19]. While, in many cases, … to evaluate resilience of different transportation network topologies…"
37,17,Resilience and efficiency in transportation networks,https://www.science.org/doi/abs/10.1126/sciadv.1701079,269,"AA Ganin, M Kitsak, D Marchese, JM Keisler… - Science …, 2017 - science.org","… We collect statistics for 20 realizations of the percolation. On failed segments, free-flow … The disturbances affecting the road infrastructure are often complex, and their impact on the …"
38,18,Robustness of transportation networks: The case of Madagascar's road network,https://www.academia.edu/download/38562501/Robustness-of-Transportation-Networks-The-Case-of-Madagascars-Road-Network.pdf,10,"R Julliard, PJ Yun, R Rado - … Journal of Advancements in Research & …, 2015 - academia.edu","… A random graph model with a degree distribution <k>= 2.93 has been obtained for the study … focus on the resilience of the country’s road network. For this purpose, the complex network …"
39,19,Using Graph Model to Analyze the Topological Vulnerability of Transport Infrastructure.,http://ceur-ws.org/Vol-1623/papertl1.pdf,2,"M Anop - DOOR (Supplement), 2016 - ceur-ws.org",… If we can find the road network vulnerability from the road network … transport infrastructure can be applied to assess the vulnerability of the network according to complex network theory. …
40,0,Modelling the air transport with complex networks: A short review,https://link.springer.com/article/10.1140/epjst/e2013-01711-9,276,"M Zanin, F Lillo - The European Physical Journal Special Topics, 2013 - Springer","… to different transportation modes, including streets [12,13], … a weighted directed graph one can construct other graphs by … some results on the resilience of the air transport network, ie, its …"
41,1,Modeling modern network attacks and countermeasures using attack graphs,https://ieeexplore.ieee.org/abstract/document/5380524/,322,"K Ingols, M Chu, R Lippmann… - 2009 Annual …, 2009 - ieeexplore.ieee.org","… , it is possible to hypothesize a zero-day vulnerability in specific … -day vulnerability in each application on a network, one at a time, and building an attack graph for each new vulnerability …"
42,2,Multiscale vulnerability of complex networks,https://aip.scitation.org/doi/abs/10.1063/1.2801687,91,"S Boccaletti, J Buldú, R Criado, J Flores… - … Journal of Nonlinear …, 2007 - aip.scitation.org","… We present a novel approach to quantify the vulnerability of a complex network, ie, the capacity of a graph to maintain its functional performance under random damages or malicious …"
43,3,Performance metrics and analysis of transit network resilience in Toronto,https://www.researchgate.net/profile/David-King-23/publication/330809142_Evaluating_transit_network_resilience_through_graph_theory_and_demand-elastic_measures_Case_study_of_the_Toronto_transit_system/links/5e1f3a49a6fdcc0a36cb8263/Evaluating-transit-network-resilience-through-graph-theory-and-demand-elastic-measures-Case-study-of-the-Toronto-transit-system.pdf,23,"D King, A Shalaby, P Eng - Transportation Research Record, 2016 - researchgate.net",… a methodology for determining the vulnerability of road 150 networks. The method involved … a graph could serve as a strong basis for analyzing 188 the resilience of a complex network. …
44,4,Using a random road graph model to understand road networks robustness to link failures,https://www.sciencedirect.com/science/article/pii/S1874548220300172,20,"PYR Sohouenou, P Christidis, A Christodoulou… - International Journal of …, 2020 - Elsevier",… These resilience indicators are hence considered as … The abstract representation of a transport system as a network of nodes (… Undirected graphs representing road networks generally …
45,5,Analyzing resilience of urban networks: a preliminary step towards more flood resilient cities,https://nhess.copernicus.org/articles/13/221/2013/,169,"S Lhomme, D Serre, Y Diab… - Natural hazards and …, 2013 - nhess.copernicus.org","… Technical networks (ie, transportation networks, the Internet) … complex networks which also include biological and social … and refinement of network models and graph–theoretical …"
46,6,Studying the topology of transportation systems through complex networks: handle with care,https://www.hindawi.com/journals/jat/2018/3156137/,49,"M Zanin, X Sun, S Wandelt - Journal of Advanced Transportation, 2018 - hindawi.com","… of the robustness and resilience of transportation systems, in … of road networks, in which the physical nature of the graph … a crossroad where more than six streets converge. In spite of …"
47,7,Resilience in railway transport systems: a literature review and research agenda,https://www.tandfonline.com/doi/abs/10.1080/01441647.2020.1728419,135,"N Bešinović - Transport Reviews, 2020 - Taylor & Francis","… resilience in railway transport and gives a comprehensive, up-to-date review of railway resilience … complex network theory which are based on graph properties and most often perform …"
48,8,A graph-theoretic framework for assessing the resilience of sectorised water distribution networks,https://link.springer.com/article/10.1007/S11269-016-1245-6,179,"M Herrera, E Abraham, I Stoianov - Water Resources Management, 2016 - Springer","… interconnected by links forming graph-bridges, which transport water from the transmission … topology by sector-nodes reduces the dimensionality of complex networks. Figure 5b shows …"
